FINEST_ACTIVITIES,MUSS_22_ACTIVITIES,MUSS_3_POSTURES,MUSS_6_ACTIVITY_GROUPS,MDCAS,RIAR_17_ACTIVITIES,SEDENTARY_AMBULATION_CYCLING,MUSS_22_ACTIVITY_ABBRS
Lying on the back,Lying on the back,Lying,Lying,Lying (Sleeping),Lying,Sedentary,Lie-back
Reclining and talking,Reclining and talking,Sitting,Sitting,Sitting Movement,Sitting still,Sedentary,Rec.-talk
Reclining and using phone,Reclining and using phone,Sitting,Sitting,Sitting Movement,Sitting still,Sedentary,Rec.-phone
Sitting and talking,Sitting and talking,Sitting,Sitting,Sitting Movement,Sitting still,Sedentary,Sit-talk
Sitting and writing,Sitting and writing,Sitting,Sitting,Sitting Movement,Sitting and writing,Others,Sit-write
Sitting still,Sitting still,Sitting,Sitting,Sitting Movement,Sitting still,Sedentary,Sit-still
Sitting and typing on a keyboard,Sitting and typing on a keyboard,Sitting,Sitting,Sitting Movement,Sitting and using a computer,Others,Sit-type
Stationary cycle ergometry,Stationary cycle ergometry,Sitting,Biking,Unknown,Biking,Cycling,Cycle-erg
Standing and folding towels,Standing and folding towels,Upright,Standing,Upright Movement,Folding towels,Others,Stand-fold
Standing and typing on a keyboard,Standing and typing on a keyboard,Upright,Standing,Upright Movement,Standing and using a computer,Others,Stand-type
Standing loading/unloading shelf,Standing loading/unloading shelf,Upright,Standing,Upright Movement,Loading/unloading shelf,Others,Stand-shelf
Standing and sweeping,Standing and sweeping,Upright,Standing,Upright Movement,Sweeping,Others,Stand-sweep
Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
Standing and writing at a table,Standing and writing at a table,Upright,Standing,Upright Movement,Standing and writing,Others,Stand-write
Treadmill running at 5.5 mph & 5% grade,Treadmill running at 5.5 mph & 5% grade,Upright,Running,Ambulation,Running,Ambulation,Run 5.5mph/5%
Level treadmill walking at 1 mph with arms on desk,Level treadmill walking at 1 mph with arms on desk,Upright,Walking,Unknown,Walking at 1 mph,Ambulation,Walk-1mph
Level treadmill walking at 2 mph with arms on desk,Level treadmill walking at 2 mph with arms on desk,Upright,Walking,Unknown,Walking at 2 mph,Ambulation,Walk-2mph
Level treadmill walking at 3 mph with arms on desk,Level treadmill walking at 3-3.5 mph,Upright,Walking,Unknown,Walking at 3-3.5 mph,Ambulation,Walk-3/3.5mph
Level treadmill walking at 3-3.5 mph,Level treadmill walking at 3-3.5 mph,Upright,Walking,Ambulation,Walking at 3-3.5 mph,Ambulation,Walk-3/3.5mph
Level treadmill walking at 3-3.5 mph while holding a phone to the ear and talking,Level treadmill walking at 3-3.5 mph while holding a phone to the ear and talking,Upright,Walking,Ambulation,Walking at 3-3.5 mph,Ambulation,Walk-phone
Level treadmill walking at 3-3.5 mph and carrying a bag,Level treadmill walking at 3-3.5 mph and carrying a bag,Upright,Walking,Ambulation,Walking at 3-3.5 mph,Ambulation,Walk-bag
Level treadmill walking at 3-3.5 mph and carrying a drink,Level treadmill walking at 3-3.5 mph and carrying a drink,Upright,Walking,Ambulation,Walking at 3-3.5 mph,Ambulation,Walk-drink
Level treadmill walking at 3-3.5 mph while talking,Level treadmill walking at 3-3.5 mph while talking,Upright,Walking,Ambulation,Walking at 3-3.5 mph,Ambulation,Walk-talk
Walking downstairs,Unknown,Unknown,Unknown,Ambulation,Walking downstairs,Ambulation,Unknown
Walking upstairs,Unknown,Unknown,Unknown,Ambulation,Walking upstairs,Ambulation,Unknown
Nonwear,Unknown,Unknown,Unknown,Nonwear,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transit.
